Text	Start Time (s)	duration
back of the site does not spot anybody	5616.00	3.48
so SEL could start working forward of	5617.60	4.16
the site a tradeoff that happens back	5619.48	4.48
and forth two again in a clutch	5621.76	4.959
situation against John C ints tap on the	5623.96	5.08
spike it's not really for him no so he	5626.72	3.761
has to lurk up and that high tide is	5629.04	4.76
going to be annoy but it was T gets the	5630.48	7.239
r ACR and wins that	5633.80	9.08
fight IG coming up strong again John cue	5637.72	6.721
these situations that you put him in you	5642.88	4.239
see him coming out on top quite a bit	5644.44	4.36
and for a pressure to be on a new player	5647.12	3.52
it does not seem like it affects him all	5648.80	3.359
that much grabs the operator they're	5650.64	2.801
going to have that going into the next	5652.16	3.161
round as that's been traded back and	5653.44	3.64
forth a little bit	5655.32	4.52
here you should run as we see this play	5657.08	4.92
right through window from Spawn picking	5659.84	4.6
up the first	5662.00	5.28
one and just having to dislodge the rest	5664.44	5.16
of loud out of the sight	5667.28	5.919
here crazy to be able to come in 3v2	5669.60	5.68
easily taking down the members there	5673.20	3.641
John cutie for the 1 V one now	5675.28	3.52
ultimate's ready for him zelis has the	5676.84	4.64
retake so they can ensure this to be a	5678.80	5.28
next round if they get that retake going	5681.48	4.48
just right we look at the side aloud	5684.08	3.96
they're going to call the timeout hun	5685.96	4.88
Fury is still there for cenen you have	5688.04	5.76
Bladestorm now coming up for qck what's	5690.84	5.64
the effect because we know the loud comp	5693.80	6.28
isn't using qck as OS was used right	5696.48	5.32
it's more flexible they can do what they	5700.08	3.44
want but also if they want him to	5701.80	3.8
aggress they can how do they give him	5703.52	3.719
that space though with this composition	5705.60	3.039
you don't you're not really throwing	5707.24	3.121
flashes over a wall you're not doing too	5708.64	3.721
much not flashing anybody to be honest	5710.36	3.359
you're just breaking crosshairs and	5712.36	3.6
technically for loud so far on their	5713.72	4.44
attack they can't do whatever they want	5715.96	3.719
because again when it comes down to the	5718.16	5.121
initiator battle between cow rather ands	5719.68	6.361
that knife denies so much information	5723.28	5.2
for L to really try to gain that space	5726.04	4.159
to move together or even get some pings	5728.48	4.36
out so senel so far on the initial hits	5730.20	4.401
coming out from L they could always stay	5732.84	4.359
posted up really yeah and you continue	5734.60	4.48
with the same great protocols that they	5737.20	3.44
have on the retakes I mean they've got	5739.08	3.92
four diffuses uh three diffuses so far	5740.64	4.201
in the four rounds that they won loud	5743.00	3.04
had to figure out a way to hold the	5744.84	3.48
pulse	5746.04	2.28
plant all right	5749.64	6.6
scattered low armor across both	5752.84	5.96
teams trying to get an upper operator	5756.24	4.4
shot here just to start off the round on	5758.80	4.399
some high lows very big pick from Zack	5760.64	4.801
and he's going to stay yeah he's got	5763.20	3.761
support there dizy to try to get more	5765.44	3.08
information instead there's a second	5766.96	3.719
jump CLA is coming through so they know	5768.52	4.0
the pressure is coming in towards loud	5770.68	3.761
but look at that instant pivot two	5772.52	3.4
players now pushing forward towards the	5774.44	3.679
aite to rotate coming across as well orb	5775.92	3.68
which should soon be coming up towards	5778.12	3.961
middle here to allow for them to CR	5779.60	4.92
meanwhile the same good old thing this	5782.08	5.68
time not being sadak because it's C Ona	5784.52	4.599
using the AL drone to bait out the	5787.76	3.439
players of SEL out towards this B sign	5789.12	4.241
and they walk slowly towards a full	5791.20	4.681
retake set up now for that side all loud	5793.36	4.48
has to deal with is the ultimate or	5795.88	4.6
sorry utility from zelis and that's just	5797.84	4.92
delay denial probably won't come up with	5800.48	3.8
too much they'll be able to wait this	5802.76	3.439
out and the Reckoning gives lets them	5804.28	5.2
know this space is free qk and goes even	5806.20	7.52
further got Hunter Fury want to unless Q	5809.48	7.04
could do something Ash is so out of	5813.72	5.52
position not going to be able to use it	5816.52	4.48
he going to be in a one and done for qck	5819.24	3.521
gets a pick at least before he gets	5821.00	4.159
traded out by z a four versus four	5822.76	3.68
trying to use the hunter Fury for the	5825.16	3.321
pul SP instead Zin gets the pick up the	5826.44	4.12
qck as Nanos storms are now trying to	5828.48	3.92
delay here on the attack side there's	5830.56	3.88
that Recon D coming through K rips out	5832.40	4.2
the hted fury but nobody's on the spike	5834.44	4.719
so far just a tap to actually bait out	5836.60	4.24
the alt here it comes the wingman to	5839.16	3.441
come out the start the theuse SOS are	5840.84	4.12
fighting for in front of the wall but	5842.60	4.079
the shot darts are coming out denies the	5844.96	2.8
wingman	5846.68	4.281
defuse couple kills coming across though	5847.76	4.879
are holding the ground s butt on the	5850.96	4.48
ground and there's no time left SAS on a	5852.64	4.761
one versus two hoping to make it	5855.44	3.44
expensive at least on the exit they're	5857.40	3.96
both ran out of ammo but both still die	5858.88	5.08
from the spike loud tie up the game four	5861.36	6.48
to four beautiful chaos of a round oh my	5863.96	6.92
gosh at one point John cue grabbed down	5867.84	6.08
to the rope to block wingman he was just	5870.88	4.64
sitting there holding on to the Rope	5873.92	4.12
spraying off of it that's crazy	5875.52	4.199
everybody just trying to body block	5878.04	3.52
there they're still able to get the U	5879.72	4.4
the viper bite actually coming up huge	5881.56	4.8
to cause the vulnerable there and uh	5884.12	3.801
little handshake to end the round high	5886.36	4.44
five between those two four to four now	5887.92	5.719
these rounds are getting chaotic this is	5890.80	5.68
awesome and see how the players are just	5893.64	4.96
kind of regaining control of what's been	5896.48	5.0
happening in sight we start this one off	5898.60	4.761
again the focus from loud starts with	5901.48	4.759
this B hit they tempt it they Cascade go	5903.36	5.08
with the Drone and see what they can get	5906.24	3.721
out of a fight here cuz Sentinels	5908.44	3.08
they've been given that Peak tens will	5909.96	3.48
be there or second they're trying to get	5911.52	3.639
a first kill that type of round reminds	5913.44	3.56
me of pearl all over again trying to	5915.16	3.48
play controller the PO Planet	5917.00	3.28
everybody's playing lineups and sprays	5918.64	3.721
through smokes you're just crossing your	5920.28	3.72
fingers to actually get the diffuser	5922.36	4.56
just need some Odin exactly start least	5924.00	4.36
it's been working for both teams	5926.92	2.64
sometimes you win some sometimes you	5928.36	2.48
lose some but it's a clean slate in	5929.56	3.8
round number nine four to four our score	5930.84	6.359
line sadak trying to push forward off an	5933.36	6.279
orb coming down on the defense TS only	5937.20	5.4
Shar alone underhand flash information	5939.64	4.761
but cine they were ready for that this	5942.60	4.841
time around cine and less all comes out	5944.40	6.12
denial attempt of a plant but Sak still	5947.44	5.44
is able to put it	5950.52	5.52
down wow loudest thing so much farther	5952.88	6.12
forward staying too yellow still pushing	5956.04	5.52
out from long nice UIL kill	5959.00	4.56
zelis is just dancing and dodging in	5961.56	4.44
there Nice kill by Kine who gets a third	5963.56	4.44
in the round even sedak I mean the traes	5966.00	5.199
are nice the positions great it does	5968.00	5.32
allow J Q to get anything done inside of	5971.20	4.44
his own pit so he's going to let that	5973.32	4.08
pit evaporate so he could save his	5975.64	4.841
weapon but loud able to fight back and	5977.40	4.56
take the lead now it's been a while	5980.48	3.32
since we've seen loud having some sort	5981.96	4.56
of commanding lead yeah Teamworks on	5983.80	4.52
point for loud here like we said this	5986.52	3.599
this composition doesn't just have one	5988.32	4.0
dashing in with free space being given	5990.12	4.441
by flashes and a bunch of utility it	5992.32	4.76
requires loud to be behind each other it	5994.56	4.639
takes a lot more to get this composition	5997.08	4.72
to work that loud is using you got to	5999.20	5.281
remember that very easy for Sentinels to	6001.80	4.64
pick apart the Gap close if they can't	6004.48	4.159
reach QC on the dash right he's left out	6006.44	5.52
on an island everything loud does has to	6008.64	5.96
be in sync and here they collect a	6011.96	5.04
really nice round at B they get the	6014.60	4.401
ultimate out of John Cy as well so they	6017.00	3.639
have to deal with less going into this	6019.00	4.36
round not their own teammate but five to	6020.64	7.361
four 10 round 10 rather pretty good buy	6023.36	7.0
here for loud to be looking at low armor	6028.00	5.28
by for the Sentinel	6030.36	6.6
side low armor by pushing exactly	6033.28	6.399
looking for aggression staying outside	6036.96	5.08
of the range of the Dizzy something that	6039.68	4.841
also EG struggle to taking control of	6042.04	5.52
green nonetheless loud scores First	6044.52	5.36
Advantage as zelus is under heavy heavy	6047.56	3.599
pressure forc the fall back back in the	6049.88	3.0
back of the sight M moving forward to	6051.16	3.921
the way as s gets two looks back at the	6052.88	3.88
top of the 41 as two takes him down	6055.08	3.44
though still the advantage comes out the	6056.76	3.879
orb for a plant on the top of the a	6058.52	3.8
tower coming out from	6060.64	4.361
Loud N come in available for T if they	6062.32	5.16
want to try to retake this one but it	6065.00	4.36
comes down to if they can get these	6067.48	4.84
picks and they cannot Tu looking clean	6069.36	5.68
on those two tu's toying with them here	6072.32	5.96
and look at Reckoning up again we just	6075.04	6.28
saw that clear a sight for loud into a	6078.28	4.56
this is what we saw from Z in the	6081.32	3.319
previous maps of just raise Al after	6082.84	4.799
raise Al loud is collecting those alt	6084.64	5.361
they're collecting s's head right now	6087.64	5.441
and they want this fourth map real bad	6090.00	5.92
three ultimates to be used is Saucy does	6093.08	5.119
that work but it was the work around	6095.92	3.96
still enough control over the site here	6098.20	4.92
for loud to be able to to control it	6099.88	5.279
okay I don't know if it would go	6103.12	5.12
in where are we going towards a again	6105.16	6.801
Reckoning held and ready	6108.24	4.841
BL storm	6111.96	3.04
available bumping into each other	6113.08	3.599
getting concussed by the Reckoning a	6115.00	2.76
ping coming	6116.68	4.081
out Z's able to dodge it though so that	6117.76	4.72
does no damage at all second dashing	6120.76	3.16
forward looking to reposition on the top	6122.48	3.679
of the a tower Q with the opener there's	6123.92	4.36
that pick but instantly traded out sadak	6126.16	3.641
on the top and they tried to do the null	6128.28	4.04
command on the Sentinel side but as they	6129.80	4.399
were doing a lot of noise for loud they	6132.32	3.68
stay back towards the site and just	6134.20	4.081
picked out sels on the retake trying to	6136.00	3.76
be a little bit more proactive and	6138.28	3.72
aggressive against loud	6139.76	5.479
he last with one John ctie here to try	6142.00	4.679
and clean up three it's going to be	6145.24	4.44
tough I love the choice these Final	6146.68	5.761
Shots come through you might look at Cen	6149.68	5.161
Zen's Hunter Hunter Fury and say why go	6152.44	4.6
after the jet why go after Zen well	6154.84	3.839
you're keeping the blad Storm Out of	6157.04	3.52
Sight he may updraft he may do a bunch	6158.68	3.96
of stuff to dodge it but your team has	6160.56	4.639
freedom from the Jets ultimate they just	6162.64	4.921
focused on orb to get that sight they	6165.20	4.44
don't have to deal it with an up drop	6167.56	4.32
they just focus	6169.64	4.201
for these type of kills that's an easy	6171.88	4.0
one why you all in the jet I'm not going	6173.84	4.879
to explain it but no great play there by	6175.88	4.799
Cowen Zen to actually take Ze out of the	6178.72	5.241
mix really heady stuff there very happy	6180.68	5.44
you see loud still vibing even when they	6183.96	3.88
were down they had the same Smiles on	6186.12	3.52
and they have to be feeling even better	6187.84	3.72
now van silly Final Round Here of the	6189.64	4.761
first half on map three loud comes back	6191.56	5.8
to take their first half possibly 8 to	6194.40	5.16
four we see the spike down so this is	6197.36	4.0
going to be a weighted out round they're	6199.56	3.639
seeing again if Sentinels will give them	6201.36	3.839
that Peak at yellow just to get that	6203.20	4.44
first fight L carrying the op in mid and	6205.20	3.641
finally Sentinels are able to take	6207.64	3.48
control of the aside pressure so you see	6208.84	4.48
how zelus and Zin are currently posted	6211.12	4.04
watching belt watching main so they know	6213.32	3.44
now that the hits coming towards the	6215.16	4.121
bite at least to start the early call	6216.76	5.0
from loud to take control of yellow as	6219.28	4.64
you mentioned here ri at the same time	6221.76	3.879
important to keep sasi alive cuz he has	6223.92	3.44
a thrash to work with there's the	6225.64	3.52
commitment now for allow for the first	6227.36	3.56
initial hit but they haven't really	6229.16	4.641
cross the line to try to tap a [ __ ] and	6230.92	6.239
try to waste that utility out	6233.80	3.359
first I'm going to stick this they're	6237.92	4.36
using a different wall now for Harbor	6240.40	3.799
they're not allowing those sections to	6242.28	4.64
be created as much as Sentinels retake	6244.20	5.04
this wall is covering mid and snowman	6246.92	4.56
entrance now straight across instead of	6249.24	4.88
diagonally an or Cascade goes forward	6251.48	4.92
they should be able to gain position get	6254.12	4.241
that default plant in and this is going	6256.40	4.44
to be hard to uproot loud with five	6258.36	4.96
alive but here comes thr to try thr and	6260.84	4.68
giving time for T even to rot to across	6263.32	4.919
and still get the pick though onto zelus	6265.52	4.56
as we got one looks like he was detained	6268.24	3.201
towards the back of yellow I think that	6270.08	3.8
was going to be less here but an off	6271.44	4.88
shot missed here by z q answering back	6273.88	4.64
on the 10 looking good for loud on the	6276.32	3.279
post	6278.52	4.28
plant you needed T to come across with	6279.60	5.0
these flashes to help but instead it's	6282.80	3.839
loud winning this pul plan pushing	6284.60	5.441
forward and dropping the igl again we	6286.64	5.321
talked about it took a while for loud	6290.04	5.04
and talking about loud with a definite	6291.96	5.12
strong lead in a map and they're	6295.08	3.76
definitely showing it here on ice box in	6297.08	4.48
a perfect correction to the way the wall	6298.84	6.52
was being used against them at B they	6301.56	5.96
throw that this wall from before the at	6305.36	3.839
the end of the round they do still throw	6307.52	3.199
the wall that covers snowman but look	6309.20	3.48
how far up they are now they're not at	6310.72	3.92
yellow trying to take the long distant	6312.68	5.601
fight well corrected by loud for the	6314.64	6.48
84 at least he's making me smile and	6318.28	4.319
Mimi indeed we can never count out the	6321.12	3.361
Brazilians now as they take the lead	6322.60	3.921
mentioned before a very strong first	6324.48	3.28
half that they shown on their attack	6326.52	2.88
this time Sentinels trying to see what	6327.76	4.2
they're going to look like on their own	6329.40	4.239
attack side we know that loud has been	6331.96	2.759
very annoying with this double	6333.64	2.881
controller against EG how they're able	6334.72	3.761
to lock down this bside and that's why	6336.52	4.0
SEL for the beginning of this pistol are	6338.48	4.4
looking to move five players with by the	6340.52	4.599
potential pul plant situation yeah it	6342.88	4.319
does you see the armor and the two	6345.12	4.08
mollies on zelis that makes me think	6347.20	3.841
zelis wants to be the last alive with a	6349.20	3.96
bit of protection and that Molly post	6351.04	3.679
plant let's see what Sentinels tries to	6353.16	4.121
do loud with great util dump into the	6354.72	6.44
side just got it and deny Sentinels and	6357.28	6.12
also Deni the two Nanos swarms that was	6361.16	3.721
going for that plant so that's going to	6363.40	3.44
be even more difficult for Sentinels to	6364.88	4.279
play that P plan staying anchored up	6366.84	3.52
that's the name of the game that's what	6369.16	3.281
they have to do when they can't until Z	6370.36	4.319
finally pops the first one against loud	6372.44	4.799
cow gets the flank onto 10 second is now	6374.68	4.96
alone the double swing high low and that	6377.24	5.321
looks really good a slight mistake on	6379.64	5.52
just waiting the timing of that plant	6382.56	5.88
denied by the shock darts of cine allows	6385.16	5.08
for them to score nine right and the	6388.44	3.48
focus that Zeal is with like you said	6390.24	4.041
was to have two Molly's post PL	6391.92	5.199
everything was instantly snuffed out by	6394.28	6.56
loud that was planned protocol at its	6397.12	5.281
best right there beautifully done you	6400.84	3.56
see it again in the shots just	6402.40	3.92
absolutely	6404.40	5.56
connecting a uh Far Cry indifference	6406.32	5.68
from what we had first round pistol of	6409.96	4.92
tens and zis just cleaning up the right	6412.00	5.76
side of the map loud finally get theirs	6414.88	4.56
they start off here in the second half	6417.76	3.359
exactly how they want but they're going	6419.44	3.719
to match up against Stingers it's not	6421.12	4.761
the classic buy from sen they're going	6423.16	4.52
right into this with	6425.88	4.56
aggression this going to be a reckoning	6427.68	5.841
buildup for tuis that seems to be the	6430.44	5.279
focus looks like SOS couldn't punish it	6433.52	4.0
cuz of the Cascade that came out so they	6435.72	5.4
cut noise in s and looking for the snow	6437.52	7.0
wall after the KO knife gets shot out	6441.12	4.761
double flash clearing out the back of	6444.52	3.599
the site once again just trying to bait	6445.88	4.839
out utility wingman though looking for	6448.12	4.48
the set of to plant for the a tower so	6450.72	4.281
changing things around just parkouring	6452.60	4.841
across the a site plant now comes down	6455.00	5.679
alen joone only spots Z but already loud	6457.44	5.6
has funneled back and pushed towards the	6460.68	4.641
back of the a site Sassi scores first	6463.04	4.559
long range with the stinger and	6465.32	4.0
definitely fighting forward alarm bot to	6467.60	3.241
also ring the bell allowing here	6469.32	2.879
Sentinels to try to fight back on the	6470.84	3.64
left side of 410 but Les is able to even	6472.20	4.081
up the tally the Stinger by from	6474.48	3.92
Sentinels they're trying to keep the	6476.28	4.839
weapons and the engagement Close n no	6478.40	4.92
storm getting a pick on to qck a three	6481.12	4.401
versus three as a time is in favor of	6483.32	4.96
SEL so far the high tide coming up TS	6485.52	4.679
with the longarm range Stinger once	6488.28	6.439
again s are able to score on the FL	6490.20	7.761
spy Sentinels push through on the four	6494.72	6.721
spy and completely take loud off guard	6497.96	5.239
no idea that was going to happen in	6501.44	3.679
sight and it wasn't a flank it's nothing	6503.20	4.361
out Sentinels behind each other pushing	6505.12	5.241
straight through sashy been incredible	6507.56	4.36
with the Stinger T has been incredible	6510.36	2.96
with the	6511.92	4.12
stinger and the positioning that they	6513.32	5.359
had as well on pipes was incredible to	6516.04	4.32
be able to pick up those kills that tens	6518.68	2.881
had there towards the end of the round	6520.36	4.0
and shut down the defuse wow Sal	6521.56	4.119
Sentinels come up huge there what are	6524.36	2.68
loud going to do they go to a Bucky they	6525.68	4.801
go to a low by Sentinels now can start	6527.04	7.119
to push for a possible win on this map	6530.48	6.52
they need to they need to tie it up but	6534.16	4.321
that could easily happen now with the	6537.00	2.8
way this would	6538.48	4.52
swing loud taking every precaution on	6539.80	5.879
the defensive side now sadok knows what	6543.00	4.4
to do in these situations they've been	6545.68	2.48
there	6547.40	2.88
before no different how they want to	6548.16	5.401
play this jigler cross spraying through	6550.28	5.959
the top of the a tower Les made it out	6553.56	4.44
with 22 HP remaining and instantly we're	6556.24	6.521
moving forward for a plant oh oh red	6558.00	7.48
looks like the ears were spotted there	6562.76	5.64
by sedak with the sheriff adsing down	6565.48	5.96
Bing the plant for them to move forward	6568.40	5.56
at least the backstab is there zelus	6571.44	4.719
watching that flame dropping qck flashes	6573.96	4.96
moving forward across the high tide you	6576.16	4.321
hear the repel second is just waiting	6578.92	2.6
behind	6580.48	3.679
it they're okay with it for SS there are	6581.52	5.88
playing against pistols at this	6584.16	3.241
point last guys can't really do too much	6588.80	3.879
you already see him going all the way	6591.32	4.72
back you just looking to run in and die	6592.68	6.081
from the spike	6596.04	2.72
after but SEL are looking pretty good so	6599.04	4.52
far getting that Force SP on that second	6601.44	3.36
round and winning the way that it did	6603.56	2.92
really fo the plans now for allowed to	6604.80	4.12
have a very strong start on the second	6606.48	5.08
half it down I mean I think they they	6608.92	4.96
quickly identified as well with the the	6611.56	5.28
Cascade they're seeing tuis having alts	6613.88	4.48
that they might have been able to to	6616.84	3.399
sting or Rush the second one catching	6618.36	4.239
loud off guard catching them in a in a	6620.24	4.041
position where they feel safe to grab an	6622.60	4.56
orb and then reset Sentinels they want	6624.28	6.2
to attack as fast as possible and just	6627.16	5.761
from screens there they're figuring out	6630.48	3.8
that they can take it down so there	6632.92	2.84
needs to be a little bit more protection	6634.28	3.12
as they head towards that Nest area for	6635.76	4.76
PL on wingman now I still love the uh	6637.40	6.04
the play that you saw there from hiding	6640.52	4.559
all the way back toward spawn get that	6643.44	4.6
pick and Dinos Spike allowing him to be	6645.08	3.961
one	6648.04	3.8
away from the	6649.04	5.24
ult of course it was the kill that was	6651.84	5.04
more important to get that ult point	6654.28	5.439
than his death from the spike in s and	6656.88	4.839
and allows for them to maybe try to look	6659.72	3.241
for that pressure to pick up that or	6661.72	3.081
towards bide cuz SEL never really took	6662.96	4.279
control of that bide but SEL in round	6664.80	5.68
number 16 decided to do it and they deny	6667.24	4.88
the opportunity of loud of building up	6670.48	3.84
ultimates here it's been a while since	6672.12	4.6
we've seen this little box shot the back	6674.32	5.44
of snowman you can hit on top of green	6676.72	4.281
and now they're	6679.76	4.359
waiting for qck it did look like that	6681.00	4.639
Dash went across I think he's got the	6684.12	3.56
call second can saw that little hair bun	6685.64	3.281
fly	6687.68	5.121
through and now they wait and they call	6688.92	6.0
such a good wait the patience of	6692.80	4.64
Sentinels causes loud to go for the full	6694.92	5.279
rotation expecting an a hit a free sight	6697.44	4.239
here and it's going to be the call from	6700.20	3.641
sedak that they need to come back what a	6701.68	3.92
deep	6703.84	4.279
plan oh they're still going they want to	6705.60	3.841
definitely try to start working and	6708.12	3.321
fighting towards the spawn you see a set	6709.44	3.759
up from T but this time he actually he	6711.44	3.719
doesn't have a flash to work with so	6713.20	3.4
it's really going to be Zin trying to	6715.16	2.96
catch one early sees that there's no	6716.60	2.841
early pressure coming out here's the	6718.12	4.241
alone falls back into sight instead so	6719.44	4.96
an opportunity now for allow to rescale	6722.36	4.279
for the retake in the B site Z behind	6724.40	4.799
the Cascade a one for one though one	6726.64	4.161
coming through blocking Vision on the	6729.20	3.44
left side of yellow three players posted	6730.80	3.439
up there for Sentinels on that post plan	6732.64	3.361
as well so you hear the utility coming	6734.24	4.44
out for the retemper take zelis on the	6736.00	4.599
top of green look at all that delay for	6738.68	3.881
that utility for sels on that pulse but	6740.60	4.0
as well and looks like we want to try to	6742.56	4.24
save to fight for another day to try to	6744.60	4.961
keep the op for qk oh my gosh but	6746.80	5.399
Sentinels will get	6749.56	2.639
seven six rounds for Sentinels to	6752.96	7.119
solidify themselves as the kings of	6756.32	6.6
Na it's crazy to think it's that close	6760.08	4.6
loud's still on the lead though this's	6762.92	3.08
work to be	6764.68	4.121
done see here this push through from	6766.00	5.88
Sentinels taking loud off guard and the	6768.80	6.2
play the macro on that round absolutely	6771.88	4.96
throwing loud and Sak for a loop you're	6775.00	2.92
definitely seeing the hope there from	6776.84	3.56
SEL for sure coming back in the second	6777.92	4.08
half when they were so strong on the	6780.40	3.52
defensive side for the beginning of the	6782.00	4.679
series or even for kickoff so far	6783.92	5.56
showing that they can have the momentum	6786.68	4.321
and the potential to really close out a	6789.48	3.759
very strong attack side on ice box as	6791.00	3.92
well as a change of pace change of	6793.24	4.041
position from loud same wall but from a	6794.92	4.4
different position to block out Vision	6797.28	5.48
on M and green zelus decides to walk up	6799.32	5.08
on this and the rest of SEL is holding	6802.76	3.839
behind it there's nobody really watching	6804.40	4.92
an asight push except for an alarm bot	6806.60	4.56
yeah and I I I find that interesting too	6809.32	2.879
that it's an alarm bot instead of a	6811.16	2.52
turret cuz somebody could now move up on	6812.20	4.561
the top of L so for me maybe SEL are	6813.68	4.641
really looking to commit towards this B	6816.76	3.399
sign exactly maybe the pace they move	6818.32	3.52
they feel comfortable just going forward	6820.16	4.361
knowing the back won't be timed and yeah	6821.84	3.92
they're going to get into position	6824.52	3.44
really fast here a stinger a guardian	6825.76	4.76
but the operator's there for QC did not	6827.96	4.759
expect Zin to be on top of yellow tuis	6830.52	5.159
with the wide swing and gets picked off	6832.72	5.041
qk is too far behind he's still	6835.68	4.0
anchoring towards the aite with that	6837.76	3.8
operator here's a chance here for	6839.68	4.361
Sentinels to move up Recon Dart prepped	6841.56	4.48
up ready but it shock darts instead same	6844.04	3.52
plant position behind the wall and	6846.04	3.36
there's no utility there to deny him and	6847.56	3.32
as I say that the shot guards came	6849.40	4.08
through a good way to recognize from	6850.88	4.4
last round to this round that loud can	6853.48	3.759
stop that plant that's the call from	6855.28	4.08
sadak saying they planted deep the team	6857.24	4.96
saw to we can deny that the next time	6859.36	4.839
they do it they have to have an	6862.20	3.52
important timing here as that's a nice	6864.20	4.201
shot from qck talk about s the Wall came	6865.72	3.88
up they can pick it up and try to go for	6868.40	3.839
a pla meanwhile coming out from celus	6869.60	5.161
who gets a pick onto sadak on middle ju	6872.24	5.081
K now no targets available for a pick	6874.76	3.919
with the operator especially when the	6877.32	3.399
Wall comes up zel is also lurking	6878.68	3.92
through towards that kitchen here's the	6880.72	3.761
shot from the operator here's the	6882.60	4.161
footsteps of cine falling back towards	6884.48	4.28
orange so the rest of L pressing forward	6886.76	3.76
towards yellow and a nice spam through	6888.76	4.8
the poison orb Q Falls now a tap on that	6890.52	4.76
Spike baiting out the swings from the	6893.56	3.84
Sentinels but no picks until celus gets	6895.28	4.64
the lurk kill one more to go celsus	6897.40	5.44
again with the lurk to put three in	6899.92	5.92
round and putting sels one run away up	6902.84	5.48
tying the game we heard Kaplan talking	6905.84	5.44
to smicks at halim about how it's John	6908.32	5.44
cue and zelis and you have to think that	6911.28	5.08
there was a lot of zalis going in to	6913.76	5.359
that round the timing the calls how much	6916.36	4.879
time they needed to defend in sight or	6919.12	4.641
play back in sight for him to get there	6921.24	5.521
in the flank controls the map we see	6923.76	4.52
zelus come up with two big ones there	6926.76	4.839
towards the end 9 to8 now Sentinels only	6928.28	5.76
trailing by one with the last four	6931.60	4.881
rounds in their favor get out of my way	6934.04	3.92
it's going to be a push down here loud	6936.48	3.56
wants to start to get aggressive even on	6937.96	4.32
their Low by they have to get under the	6940.04	3.84
skin of Sentinels here they can't keep	6942.28	4.52
playing default it seems qk just Hur the	6943.88	4.719
turret actually he's still in range	6946.80	4.799
where by somebody but instead just wants	6948.60	5.921
to deny visibility for Sentinels by	6951.60	5.04
breaking a turret early so Sentinels	6954.52	4.52
pushing towards the a side instead	6956.64	4.241
should be a wingman plan here trade back	6959.04	4.199
and forth nice shot by qck Dash	6960.88	4.759
activated as well Stinger upgrade back	6963.24	4.84
into the sheriff sank bite pushing away	6965.64	5.361
Reckoning instantly getting popped as	6968.08	5.6
Sassi gets the plant from the wing	6971.00	5.239
manist now there's that jump up sashy	6973.68	5.201
almost got that pick onto Les jumping up	6976.24	4.36
towards the a who does get a pick of his	6978.88	3.239
own with the sheriff we talk about the	6980.60	3.52
LLY here loud has to make plays and it's	6982.12	5.401
working out Aline no contact L with the	6984.12	7.201
wall bang onto S as well up to the igl	6987.52	5.92
John cue springing across left and right	6991.32	4.44
now let is sticking on that plant it's	6993.44	3.679
looking pretty good here to hold it in	6995.76	5.28
the end the lower by four L the Thrifty	6997.12	5.761
as the answer right back and that hope	7001.04	3.88
is slowly dwindling away here since	7002.88	4.48
Sentinels forced by in the second round	7004.92	4.6
of the half the Cove really putting it	7007.36	4.279
damper there on Sentinels trying to get	7009.52	4.599
to the spike Sai throws out a m just	7011.64	4.6
boink right	7014.12	4.761
off and that's crazy that he's able to	7016.24	4.561
get and break the turret down towards	7018.88	3.6
bottom M and still come back to get an	7020.80	5.04
opener on holding the a	7022.48	6.96
site loud making the perfect little	7025.84	5.759
Corrections here crash in this coming	7029.44	3.36
round and then they're going to have the	7031.60	3.04
sight with a lock down if they don't	7032.80	4.08
have that to hold for or if they if um	7034.64	3.921
they don't use it they can have it for	7036.88	3.44
the next round so a lot of things loud	7038.56	6.2
has to deal with right now sheriff for	7040.32	4.44
Less he's got money there wait a minute	7044.96	4.8
like no way you just have a sheriff	7048.36	3.879
right now we just talked about this	7049.76	4.24
there yeah you'd mentioned clearing out	7052.24	3.201
I mean that's the path that they usually	7054.00	3.239
do here with the smash they could around	7055.44	4.56
the 410 yeah pick it back up and Al just	7057.24	4.681
behind 410 to really gain even more	7060.00	3.8
space allowing time for them to set up	7061.92	5.199
for a full PL out that's why you see	7063.80	6.0
zela moving up with the team John C one	7067.12	5.12
watching the flank to start the knife to	7069.80	3.72
see if loud's going to try to push	7072.24	3.081
forward with qck on the Y but he's	7073.52	3.719
posted up towards b	7075.32	3.919
instead	7077.24	5.281
initi so cycling the lock down before	7079.24	5.561
the thrash to start things	7082.52	5.44
off don't get in my way Les is just	7084.80	6.24
trying to get that timing why not yeah	7087.96	6.92
he'll be fine back there to run back	7091.04	3.84
in PL on the left side though ooh they	7095.20	5.44
do get the spray on behind the Cascade	7098.56	4.599
so that Spike down remember the thrash	7100.64	4.96
is still available for Sashi zela	7103.16	4.48
getting some sprays it's the battle	7105.60	4.12
inside that pit playing on the	7107.64	3.56
extremities of it but with that Spike	7109.72	3.081
being down out in the open looks like we	7111.20	3.241
have to try to reset for Sentinels it's	7112.80	3.72
a thrash to Make Some Noise allowing zel	7114.44	4.04
once again to look for a timing on that	7116.52	4.28
flank underhand flash being thrown Spike	7118.48	4.96
now being picked up as they pull back	7120.80	4.6
away from this leaving Z on the top but	7123.44	3.799
this whole time as zelus is lurking	7125.40	4.0
towards middle that op was always	7127.24	4.521
